Location,Date,Time,VehicleCount,PM2.5,PM10,NO2,Temperature,Humidity
Main St,2025-01-15,13:09:00,385,40.15,48.31,38.83,16.27,43.72
Park Ave,2025-01-22,04:55:00,68,134.85,51.83,7.07,33.8,20.66
Main St,2025-01-03,06:10:00,3,16.02,32.59,80.81,38.62,65.03
Park Ave,2025-01-14,18:12:00,287,108.96,145.42,43.27,23.28,73.18
Park Ave,2025-01-07,14:15:00,95,96.1,64.19,22.29,15.59,37.48
Elm St,2025-01-18,17:57:00,325,81.15,90.86,76.19,37.17,63.21
Main St,2025-01-19,20:12:00,326,84.66,167.49,5.19,16.05,33.93
Broadway,2025-01-10,06:18:00,413,16.83,27.88,27.24,38.5,62.38
Elm St,2025-01-09,06:15:00,161,78.15,16.47,93.69,35.54,79.12
5th Ave,2025-01-02,23:13:00,288,9.52,25.81,56.23,39.6,31.3
Elm St,2025-01-25,23:42:00,138,20.3,77.69,67.45,24.57,38.92
Park Ave,2025-01-19,20:10:00,170,116.63,146.37,77.71,34.59,55.24
5th Ave,2025-01-26,17:57:00,201,6.22,183.4,63.54,37.98,65.63
Elm St,2025-01-18,07:11:00,328,21.41,127.16,61.63,20.8,71.67
Elm St,2025-01-22,23:26:00,154,133.51,31.44,93.4,25.89,50.36
Main St,2025-01-22,18:57:00,498,130.39,169.28,84.76,26.84,43.88
5th Ave,2025-01-09,05:25:00,167,34.12,138.71,47.5,28.31,23.56
5th Ave,2025-01-30,02:33:00,481,99.05,82.57,75.26,28.29,26.37
5th Ave,2025-01-24,01:50:00,118,120.83,197.16,42.6,21.52,32.91
Main St,2025-01-27,07:35:00,176,103.04,19.96,88.22,21.46,70.15
Park Ave,2025-01-23,00:15:00,113,105.04,111.3,40.93,35.9,52.85
Elm St,2025-01-10,04:37:00,310,120.52,181.6,49.29,15.7,61.26
5th Ave,2025-01-30,11:48:00,345,143.52,96.85,17.01,36.47,57.51
Broadway,2025-01-20,03:50:00,273,25.43,21.57,62.23,17.81,39.56
Park Ave,2025-01-23,03:36:00,439,124.6,182.99,98.92,27.61,51.39
Broadway,2025-01-10,07:57:00,61,62.34,118.24,40.77,35.63,60.7
Broadway,2025-01-19,21:18:00,77,28.73,44.79,53.7,36.95,32.84
Park Ave,2025-01-29,11:25:00,347,59.92,198.6,50.1,16.88,34.71
Elm St,2025-01-22,17:22:00,34,82.94,46.21,17.12,29.38,22.6
Elm St,2025-01-02,07:47:00,319,59.78,180.78,65.21,33.66,75.32
5th Ave,2025-01-23,15:55:00,338,83.99,86.89,67.14,20.08,46.55
Elm St,2025-01-05,12:44:00,465,42.89,100.3,37.42,38.43,68.07
Main St,2025-01-20,21:42:00,258,24.17,10.21,84.1,29.48,60.38
Main St,2025-01-05,01:44:00,382,32.1,154.65,61.12,35.91,37.25
Elm St,2025-01-27,08:32:00,105,100.36,77.43,95.71,28.47,47.86
Main St,2025-01-10,16:47:00,112,57.71,57.18,10.34,20.47,31.46
Park Ave,2025-01-30,05:43:00,55,99.1,56.23,96.82,31.18,67.24
Elm St,2025-01-13,17:10:00,109,39.71,135.28,58.61,36.39,54.24
5th Ave,2025-01-18,08:54:00,183,127.78,22.43,57.29,21.27,78.07
Broadway,2025-01-04,23:52:00,267,13.69,45.66,25.91,25.51,35.33
Broadway,2025-01-21,06:18:00,152,117.9,160.79,98.01,24.97,77.92
Park Ave,2025-01-29,00:33:00,342,5.32,94.58,6.35,16.56,75.55
Park Ave,2025-01-29,05:52:00,251,137.56,56.05,36.73,15.15,73.63
Broadway,2025-01-07,17:10:00,36,70.26,90.9,57.93,23.58,50.42
5th Ave,2025-01-30,16:02:00,84,19.3,192.09,54.12,23.14,70.06
Park Ave,2025-01-18,22:46:00,283,81.5,108.38,35.31,35.98,45.79
Main St,2025-01-19,12:31:00,156,9.26,26.42,77.05,33.07,23.37
Elm St,2025-01-22,07:34:00,427,67.46,105.91,40.07,23.87,47.24
5th Ave,2025-01-10,22:07:00,477,17.43,176.56,42.41,20.15,26.43
Elm St,2025-01-05,13:13:00,328,44.31,68.41,79.35,19.86,55.48
Broadway,2025-01-25,17:53:00,17,100.72,33.77,41.41,19.09,62.73
5th Ave,2025-01-04,04:25:00,406,68.95,27.1,98.77,17.97,24.35
Park Ave,2025-01-13,16:48:00,273,102.29,101.65,62.59,30.69,71.16
Elm St,2025-01-10,21:05:00,18,113.46,197.42,95.55,22.65,68.27
Broadway,2025-01-08,16:09:00,116,133.86,74.73,67.66,21.9,35.6
Park Ave,2025-01-29,21:39:00,242,137.2,137.08,16.42,17.96,28.65
Main St,2025-01-28,12:24:00,398,135.61,112.03,85.68,19.12,39.79
Park Ave,2025-01-28,02:38:00,166,119.99,53.69,10.18,30.89,21.97
Elm St,2025-01-03,05:27:00,363,43.57,18.36,15.09,28.9,26.4
Park Ave,2025-01-18,23:13:00,495,42.18,186.8,5.61,33.57,26.99
Broadway,2025-01-02,02:38:00,320,31.88,178.76,11.06,27.47,78.26
Park Ave,2025-01-09,09:40:00,392,140.73,24.32,37.32,23.3,52.64
Elm St,2025-01-03,17:07:00,440,109.65,133.78,43.59,39.36,72.76
5th Ave,2025-01-07,09:58:00,423,55.05,80.22,71.45,30.9,44.99
5th Ave,2025-01-30,16:27:00,463,148.33,54.28,94.02,34.77,42.16
Broadway,2025-01-11,09:28:00,77,84.68,56.87,29.68,18.38,67.69
Park Ave,2025-01-28,02:43:00,405,91.66,196.34,29.44,25.38,41.92
Park Ave,2025-01-19,00:28:00,152,81.12,67.99,44.66,25.07,35.28
Broadway,2025-01-16,01:44:00,142,91.84,78.8,99.84,33.24,62.3
Park Ave,2025-01-08,19:01:00,74,90.44,13.55,10.79,17.28,34.38
Broadway,2025-01-07,21:48:00,12,92.92,35.43,71.17,29.61,45.15
Park Ave,2025-01-12,05:20:00,149,108.2,74.62,64.91,17.54,60.32
Main St,2025-01-13,15:50:00,222,38.72,88.29,77.61,36.87,26.6
5th Ave,2025-01-25,13:17:00,159,12.06,31.97,67.39,27.88,69.7
Park Ave,2025-01-10,15:51:00,237,98.71,151.28,32.61,23.14,40.2
Park Ave,2025-01-12,03:33:00,238,90.84,99.61,57.98,27.5,28.83
5th Ave,2025-01-04,05:10:00,496,44.78,125.74,20.99,23.23,36.43
Elm St,2025-01-13,22:17:00,143,11.07,127.61,95.17,20.63,28.27
5th Ave,2025-01-05,01:53:00,197,9.47,31.93,95.28,36.95,23.75
Elm St,2025-01-04,11:51:00,210,30.14,34.09,65.29,31.93,47.97
Park Ave,2025-01-13,00:20:00,189,116.7,72.5,23.69,22.17,29.41
5th Ave,2025-01-05,01:36:00,380,86.24,104.63,29.98,25.38,36.75
Park Ave,2025-01-19,11:54:00,87,101.9,47.12,72.33,19.51,31.35
Main St,2025-01-22,03:29:00,419,128.16,174.85,97.56,28.24,23.96
Main St,2025-01-13,21:25:00,260,6.06,109.4,47.95,27.69,62.71
Main St,2025-01-28,14:40:00,14,89.12,83.46,25.49,24.71,60.47
Broadway,2025-01-30,10:28:00,290,136.26,115.63,75.38,18.33,77.92
5th Ave,2025-01-26,07:19:00,453,69.12,168.51,26.55,19.58,26.49
Elm St,2025-01-27,07:56:00,8,28.26,168.69,13.01,32.88,79.63
5th Ave,2025-01-01,08:35:00,90,111.92,64.45,14.99,29.64,63.6
Park Ave,2025-01-22,18:39:00,334,45.17,176.61,93.82,35.87,76.88
Main St,2025-01-01,07:53:00,419,11.01,113.5,11.39,20.82,32.94
Broadway,2025-01-02,04:49:00,65,105.98,75.06,37.8,27.41,51.88
5th Ave,2025-01-17,19:20:00,358,29.58,181.92,10.61,29.89,44.96
5th Ave,2025-01-02,19:02:00,23,54.78,82.32,26.41,35.34,56.96
Main St,2025-01-10,08:27:00,320,78.55,14.41,63.72,29.02,53.68
5th Ave,2025-01-13,20:30:00,487,19.07,127.77,58.17,21.18,48.86
5th Ave,2025-01-17,00:58:00,148,117.27,111.71,71.99,20.18,31.01
Elm St,2025-01-12,05:48:00,261,23.94,167.41,66.58,39.12,46.79
5th Ave,2025-01-12,19:19:00,206,9.54,60.02,58.16,24.39,79.25
Park Ave,2025-01-19,19:47:00,447,121.81,188.38,82.19,27.23,76.72
Main St,2025-01-07,15:44:00,322,91.4,52.07,45.73,15.33,26.68
5th Ave,2025-01-22,16:15:00,316,62.45,165.65,22.89,39.52,42.34
Broadway,2025-01-20,00:48:00,463,61.54,95.54,51.56,23.45,62.55
Broadway,2025-01-16,20:48:00,57,142.1,51.03,41.79,22.4,49.4
Park Ave,2025-01-27,19:29:00,38,94.75,35.77,80.51,24.23,61.82
Broadway,2025-01-01,21:11:00,436,131.62,146.01,88.44,26.27,59.19
Broadway,2025-01-13,03:19:00,218,67.02,23.63,55.71,16.14,39.26
Park Ave,2025-01-16,12:43:00,330,61.0,135.16,16.23,16.7,76.89
Broadway,2025-01-27,04:38:00,410,142.76,54.24,11.61,27.03,74.46
Main St,2025-01-11,08:28:00,430,68.51,16.39,11.28,36.88,20.69
Main St,2025-01-16,19:19:00,499,91.54,11.2,45.79,21.24,68.57
5th Ave,2025-01-29,06:54:00,337,107.94,29.92,91.2,32.08,21.67
5th Ave,2025-01-15,05:22:00,270,132.01,88.83,65.44,27.89,23.53
Broadway,2025-01-21,06:26:00,440,141.87,146.37,49.88,33.72,52.3
5th Ave,2025-01-12,08:44:00,493,108.78,130.65,22.95,15.05,26.04
Park Ave,2025-01-22,20:51:00,92,88.47,126.26,98.42,29.61,43.82
5th Ave,2025-01-04,14:41:00,428,123.2,105.33,69.24,21.14,28.03
Elm St,2025-01-10,22:11:00,37,106.07,74.73,34.8,37.09,72.53
Park Ave,2025-01-27,19:59:00,470,67.76,59.23,21.34,30.44,68.9
Park Ave,2025-01-22,19:35:00,66,68.95,123.32,25.61,31.94,41.52
Broadway,2025-01-16,14:28:00,279,100.12,119.18,72.43,28.95,49.94
Elm St,2025-01-20,09:23:00,162,64.37,92.37,17.81,22.51,36.07
Elm St,2025-01-25,15:25:00,41,32.53,182.08,35.7,32.16,66.92
Main St,2025-01-03,07:30:00,481,83.08,146.04,34.91,29.71,33.64
Broadway,2025-01-12,21:45:00,265,65.19,184.02,83.1,34.07,72.82
Main St,2025-01-21,06:18:00,82,57.3,190.78,23.63,17.0,60.99
5th Ave,2025-01-16,07:08:00,154,33.49,123.63,7.31,25.89,40.57
Park Ave,2025-01-01,04:49:00,461,88.68,33.83,43.16,26.22,28.85
Main St,2025-01-06,16:49:00,71,102.92,117.26,35.18,33.71,35.0
5th Ave,2025-01-09,09:09:00,260,15.67,131.94,19.49,39.07,31.46
Main St,2025-01-01,07:04:00,144,42.35,188.48,77.13,35.39,20.05
Elm St,2025-01-11,21:51:00,161,100.23,30.46,63.31,15.02,52.07
Broadway,2025-01-25,10:06:00,333,60.03,146.7,88.14,29.08,68.82
5th Ave,2025-01-11,11:16:00,297,44.74,199.7,74.53,24.32,62.45
Main St,2025-01-10,10:53:00,101,5.32,23.94,99.12,22.83,79.86
Park Ave,2025-01-27,06:43:00,207,50.81,49.18,53.76,35.18,78.58
5th Ave,2025-01-10,23:41:00,43,90.42,130.88,80.29,29.32,71.58
Broadway,2025-01-13,01:57:00,375,23.04,45.58,16.65,20.8,46.78
Elm St,2025-01-25,15:14:00,388,75.41,14.42,43.97,22.88,27.1
5th Ave,2025-01-14,03:19:00,473,145.6,194.05,70.32,19.93,44.57
Main St,2025-01-15,09:53:00,61,111.94,189.69,81.17,38.35,65.41
5th Ave,2025-01-17,08:45:00,399,109.06,14.09,56.1,17.08,71.94
Park Ave,2025-01-26,12:19:00,115,131.17,129.18,93.73,37.35,38.05
Park Ave,2025-01-04,14:17:00,239,58.46,186.57,92.17,29.65,59.37
Park Ave,2025-01-26,04:35:00,337,57.6,53.88,46.16,19.82,50.63
Park Ave,2025-01-19,07:16:00,215,67.55,125.26,30.67,17.62,35.32
Park Ave,2025-01-15,08:11:00,256,143.86,87.52,9.86,33.91,37.96
Main St,2025-01-30,19:38:00,451,53.43,31.3,70.03,32.26,34.97
Main St,2025-01-02,16:17:00,349,12.29,73.3,7.44,25.43,57.53
Elm St,2025-01-13,15:55:00,293,112.43,44.92,20.8,28.22,33.92
Elm St,2025-01-17,13:29:00,487,16.76,60.63,91.7,37.9,45.09
Main St,2025-01-27,10:06:00,2,112.66,144.08,40.59,16.12,49.54
Park Ave,2025-01-04,08:04:00,175,111.02,155.05,81.14,16.58,76.47
5th Ave,2025-01-11,11:54:00,371,14.87,188.84,85.21,17.15,47.41
Park Ave,2025-01-06,22:03:00,142,61.26,11.23,14.68,21.04,62.29
Main St,2025-01-28,00:58:00,267,136.34,64.69,74.63,39.28,50.27
Main St,2025-01-05,09:37:00,230,113.37,145.82,48.89,21.15,30.76
Park Ave,2025-01-13,17:31:00,416,7.01,172.23,91.36,21.77,72.52
Park Ave,2025-01-17,02:19:00,214,137.98,139.43,24.38,21.33,36.17
Elm St,2025-01-09,05:52:00,181,82.27,153.68,19.33,27.45,23.78
Elm St,2025-01-08,22:20:00,21,120.88,75.11,52.1,32.81,67.8
5th Ave,2025-01-09,03:23:00,316,67.52,10.7,94.73,24.9,21.88
Park Ave,2025-01-25,04:51:00,350,110.43,78.74,72.29,20.08,39.9
Park Ave,2025-01-16,01:26:00,290,128.65,58.28,25.28,22.83,56.56
Broadway,2025-01-10,01:16:00,266,66.14,126.02,27.76,22.71,73.09
Main St,2025-01-14,11:49:00,133,59.06,158.52,67.34,16.51,65.05
5th Ave,2025-01-04,01:36:00,187,116.96,142.99,91.38,31.47,57.4
Main St,2025-01-27,19:05:00,98,77.57,26.73,55.9,25.96,69.24
Broadway,2025-01-06,11:36:00,425,30.9,89.99,86.12,34.69,25.24
5th Ave,2025-01-06,18:06:00,467,77.61,98.17,36.15,17.57,60.13
5th Ave,2025-01-18,07:53:00,38,92.17,111.77,85.4,28.54,41.45
5th Ave,2025-01-16,09:54:00,253,99.56,39.29,47.4,22.89,72.28
Main St,2025-01-27,22:58:00,293,43.96,124.87,67.48,36.21,74.01
5th Ave,2025-01-13,06:48:00,488,103.43,150.72,54.95,17.06,45.21
Broadway,2025-01-15,11:49:00,128,56.56,115.18,88.52,25.92,38.57
Elm St,2025-01-08,18:24:00,119,117.31,37.51,23.35,21.4,54.04
Elm St,2025-01-13,19:14:00,464,48.64,182.55,8.48,38.15,50.47
Park Ave,2025-01-14,18:08:00,483,66.41,199.48,39.59,22.17,75.8
5th Ave,2025-01-04,22:55:00,250,61.8,99.47,69.04,34.49,23.58
5th Ave,2025-01-11,17:14:00,72,90.25,85.98,76.19,21.22,24.53
5th Ave,2025-01-03,21:32:00,354,14.17,108.89,50.87,18.1,66.52
Park Ave,2025-01-08,21:28:00,142,147.39,145.55,21.6,18.0,54.51
5th Ave,2025-01-23,13:25:00,198,141.89,101.04,14.87,22.91,71.2
Park Ave,2025-01-29,19:09:00,314,117.86,29.09,89.33,35.16,50.18
Broadway,2025-01-30,02:21:00,213,16.03,153.68,73.74,31.45,65.64
Park Ave,2025-01-01,01:28:00,210,93.48,17.72,91.98,33.67,78.76
5th Ave,2025-01-14,10:12:00,417,127.99,85.81,37.86,27.89,42.62
Elm St,2025-01-11,09:50:00,350,75.31,141.55,60.12,34.15,79.5
5th Ave,2025-01-28,07:20:00,328,84.89,158.14,72.16,15.56,61.06
Elm St,2025-01-12,09:33:00,362,15.21,128.64,65.02,21.09,37.7
Broadway,2025-01-25,17:14:00,222,71.29,173.29,99.16,22.36,70.35
Broadway,2025-01-26,04:03:00,336,116.34,40.98,42.27,30.71,59.47
Elm St,2025-01-06,09:44:00,18,75.75,67.86,57.74,18.02,41.22
Park Ave,2025-01-02,20:01:00,381,98.27,175.46,57.64,24.58,36.99
5th Ave,2025-01-06,10:25:00,244,27.61,71.81,89.21,24.39,50.52
Park Ave,2025-01-02,22:32:00,343,122.9,105.88,69.98,17.46,40.4
Main St,2025-01-26,13:30:00,36,130.95,144.84,30.93,37.92,24.23
Park Ave,2025-01-14,04:11:00,486,123.38,41.32,94.07,16.29,41.34
Main St,2025-01-09,14:22:00,5,78.66,107.92,97.16,18.24,59.16
5th Ave,2025-01-25,05:01:00,298,134.38,14.2,83.78,24.75,35.48
5th Ave,2025-01-07,07:22:00,426,10.23,146.51,54.81,19.89,51.62
Main St,2025-01-17,12:40:00,234,79.0,168.76,38.19,22.9,71.31
5th Ave,2025-01-12,17:58:00,98,39.95,14.35,14.99,36.39,23.99
Park Ave,2025-01-13,15:36:00,114,104.04,108.89,41.11,38.72,63.98
Park Ave,2025-01-15,23:32:00,431,76.45,83.84,13.57,31.5,28.54
5th Ave,2025-01-13,02:25:00,499,54.07,177.18,26.53,17.81,44.38
Park Ave,2025-01-30,14:10:00,122,69.53,54.95,95.38,17.25,53.76
Main St,2025-01-07,09:09:00,384,29.24,196.35,17.05,35.57,21.65
Elm St,2025-01-26,10:02:00,433,113.7,64.41,76.85,19.68,50.87
Elm St,2025-01-28,17:54:00,25,89.65,32.84,18.1,20.33,67.79
Elm St,2025-01-03,09:58:00,243,27.39,89.37,28.64,24.02,62.95
Park Ave,2025-01-29,20:31:00,384,62.19,187.59,46.93,23.97,44.27
Broadway,2025-01-04,23:31:00,186,113.63,113.51,96.96,36.31,48.95
Broadway,2025-01-06,13:21:00,253,90.78,179.99,54.21,18.51,58.03
Main St,2025-01-25,17:31:00,54,10.92,78.97,92.35,33.59,27.59
5th Ave,2025-01-14,04:19:00,450,148.72,120.34,49.08,23.73,61.82
5th Ave,2025-01-08,13:01:00,421,135.28,165.19,60.33,23.3,50.33
Broadway,2025-01-07,05:30:00,194,41.59,115.7,16.15,38.83,22.39
5th Ave,2025-01-07,21:29:00,55,83.79,118.1,9.4,26.14,70.38
Elm St,2025-01-22,15:58:00,251,23.48,126.6,90.33,23.72,76.3
Broadway,2025-01-09,09:50:00,80,102.65,112.59,37.52,29.02,42.97
Elm St,2025-01-24,23:46:00,405,133.47,16.66,45.01,16.5,48.82
Broadway,2025-01-29,04:16:00,29,135.16,11.85,14.33,25.4,61.45
Broadway,2025-01-30,03:42:00,337,33.21,110.79,38.07,32.15,43.27
Park Ave,2025-01-21,16:37:00,25,129.82,119.35,21.55,21.6,22.28
5th Ave,2025-01-17,18:25:00,22,39.52,62.44,73.04,36.64,79.2
Main St,2025-01-09,18:30:00,256,103.27,196.07,30.2,37.18,39.95
Main St,2025-01-27,09:11:00,74,136.06,125.92,40.5,28.35,78.44
Elm St,2025-01-22,17:06:00,108,37.32,154.96,54.48,37.29,56.68
Broadway,2025-01-03,05:32:00,54,14.62,193.85,42.48,19.69,42.98
Broadway,2025-01-10,22:20:00,44,119.77,45.54,45.67,17.5,60.2
5th Ave,2025-01-14,13:36:00,404,80.26,66.32,36.95,31.89,78.47
Broadway,2025-01-26,17:21:00,474,75.17,20.38,9.71,19.31,67.04
Park Ave,2025-01-16,04:57:00,177,115.64,19.53,39.31,23.45,31.78
5th Ave,2025-01-12,07:20:00,32,109.81,79.27,53.86,33.56,49.32
Elm St,2025-01-14,18:27:00,135,42.0,182.24,76.19,18.14,68.62
Elm St,2025-01-24,04:42:00,447,15.28,86.61,6.59,33.35,38.6
5th Ave,2025-01-16,00:44:00,245,137.12,43.85,88.17,27.53,44.41
5th Ave,2025-01-18,07:00:00,473,148.88,60.09,26.9,26.28,59.74
Park Ave,2025-01-15,09:57:00,31,28.03,62.19,38.43,32.56,54.68
Park Ave,2025-01-23,02:50:00,42,66.05,161.78,30.2,32.04,55.58
5th Ave,2025-01-16,17:19:00,284,63.03,48.67,55.27,25.52,72.03
Main St,2025-01-27,04:32:00,449,103.31,139.0,86.21,37.48,55.31
Elm St,2025-01-20,04:54:00,152,29.63,94.7,58.59,18.83,46.81
5th Ave,2025-01-13,04:16:00,101,18.13,199.76,35.36,22.55,31.59
5th Ave,2025-01-15,11:34:00,35,55.75,39.7,96.28,25.17,49.63
Elm St,2025-01-09,09:27:00,312,5.84,78.71,25.6,25.05,50.97
Elm St,2025-01-28,22:37:00,422,88.88,67.2,78.65,24.9,25.54
Main St,2025-01-04,19:15:00,182,122.37,161.74,38.98,17.47,72.84
Elm St,2025-01-29,19:46:00,357,39.19,109.23,59.16,16.01,44.06
Main St,2025-01-21,18:38:00,195,65.34,116.51,59.38,35.66,72.16
Park Ave,2025-01-27,23:00:00,414,45.95,80.93,80.41,28.7,48.8
Broadway,2025-01-20,16:34:00,422,40.98,102.45,88.68,31.34,67.98
Park Ave,2025-01-16,08:58:00,212,102.21,153.15,98.03,20.64,34.25
Elm St,2025-01-03,12:03:00,76,14.37,187.53,14.16,31.3,54.13
Elm St,2025-01-07,20:06:00,475,14.94,174.58,15.22,38.64,20.67
Broadway,2025-01-27,23:30:00,448,87.14,21.55,33.2,17.94,62.27
Park Ave,2025-01-12,07:17:00,418,73.64,96.71,24.38,30.35,22.08
Elm St,2025-01-16,22:10:00,350,40.09,71.25,24.79,33.7,53.8
Broadway,2025-01-16,14:35:00,495,49.87,102.87,7.33,29.79,78.25
Elm St,2025-01-22,09:35:00,138,125.98,44.38,12.06,18.84,38.79
Main St,2025-01-12,00:19:00,374,21.77,143.88,85.05,17.05,34.18
5th Ave,2025-01-06,09:39:00,339,25.41,108.84,63.77,35.35,37.8
Park Ave,2025-01-01,13:22:00,312,14.44,135.68,97.99,15.38,70.65
Elm St,2025-01-23,22:42:00,464,55.43,158.12,49.67,28.14,24.19
Broadway,2025-01-03,01:56:00,38,118.38,123.23,86.42,25.34,55.0
Main St,2025-01-28,17:50:00,1,13.95,24.8,85.94,22.11,68.01
Park Ave,2025-01-29,15:57:00,451,117.56,27.11,59.83,15.66,44.09
Main St,2025-01-18,00:38:00,302,44.4,149.43,14.01,27.35,64.46
5th Ave,2025-01-06,12:03:00,359,60.18,79.57,16.25,28.41,24.1
Main St,2025-01-03,21:19:00,486,46.68,97.71,94.64,39.0,31.79
Main St,2025-01-25,21:30:00,473,123.38,73.15,21.06,34.61,78.31
Broadway,2025-01-17,09:07:00,105,128.2,125.27,60.74,29.7,70.48
Park Ave,2025-01-03,09:47:00,76,70.39,29.94,16.38,20.64,27.48
Elm St,2025-01-16,17:11:00,294,75.17,144.67,48.93,15.62,56.42
Main St,2025-01-18,08:31:00,40,81.94,141.08,40.02,27.78,38.36
Park Ave,2025-01-09,16:31:00,280,86.68,77.79,96.8,15.24,34.8
5th Ave,2025-01-28,06:33:00,364,14.5,117.63,45.63,29.0,29.56
Elm St,2025-01-09,16:17:00,344,144.81,25.43,50.65,39.12,37.51
5th Ave,2025-01-01,18:52:00,389,27.1,181.71,75.97,39.27,59.13
Elm St,2025-01-02,20:05:00,497,33.26,144.2,92.33,31.23,36.0
Broadway,2025-01-24,00:48:00,476,61.66,126.24,45.92,26.59,21.09
Park Ave,2025-01-25,19:17:00,221,121.72,187.88,98.75,15.45,68.66
Broadway,2025-01-22,08:31:00,496,92.74,50.51,95.03,16.68,47.26
Elm St,2025-01-01,21:08:00,463,80.37,69.99,26.53,28.14,27.81
Elm St,2025-01-03,02:10:00,210,121.91,57.42,35.47,18.44,45.72
Main St,2025-01-23,07:35:00,483,77.2,75.33,55.4,23.88,45.21
Park Ave,2025-01-19,16:17:00,181,106.74,117.58,67.39,19.44,59.97
Park Ave,2025-01-14,14:03:00,37,141.54,90.52,7.72,15.7,42.29
5th Ave,2025-01-21,08:34:00,460,92.89,15.96,41.83,16.03,29.49
Park Ave,2025-01-26,09:36:00,63,108.44,34.78,46.84,15.01,58.38
Park Ave,2025-01-18,07:03:00,404,133.48,185.61,9.24,27.6,43.98
Broadway,2025-01-10,15:59:00,82,8.43,96.89,15.72,37.99,21.99
Elm St,2025-01-18,16:09:00,391,88.04,109.85,74.49,17.76,51.39
Main St,2025-01-05,06:54:00,231,11.37,156.79,35.17,26.19,36.49
Park Ave,2025-01-09,22:58:00,69,15.19,166.6,13.02,24.35,22.45
5th Ave,2025-01-13,01:50:00,180,65.22,116.85,20.28,26.75,73.6
5th Ave,2025-01-13,04:49:00,47,114.34,179.36,68.92,16.8,60.21
Park Ave,2025-01-11,03:25:00,81,105.39,85.32,38.09,39.43,20.51
Elm St,2025-01-08,14:20:00,70,127.87,58.02,33.51,26.52,44.74
Main St,2025-01-23,08:43:00,284,99.79,70.7,91.03,33.21,31.57
Main St,2025-01-12,08:09:00,115,105.73,108.35,50.17,29.97,20.97
Park Ave,2025-01-14,15:44:00,114,71.94,95.64,28.09,18.65,70.59
Elm St,2025-01-08,04:04:00,23,108.78,147.54,43.15,15.46,56.5
Broadway,2025-01-05,18:35:00,465,107.98,120.92,73.89,18.21,43.84
5th Ave,2025-01-25,17:02:00,430,95.96,100.46,35.41,22.64,22.52
Elm St,2025-01-12,04:15:00,382,54.42,55.34,53.86,28.82,75.39
5th Ave,2025-01-04,22:43:00,125,91.36,180.51,31.17,27.82,41.98
Broadway,2025-01-17,12:50:00,454,18.82,111.12,72.61,32.41,27.4
Elm St,2025-01-13,11:04:00,489,40.63,97.98,10.71,19.19,37.53
Main St,2025-01-13,22:49:00,112,135.97,36.0,73.14,30.57,75.64
Main St,2025-01-19,10:40:00,295,109.47,24.63,27.44,27.93,43.38
Elm St,2025-01-13,14:04:00,296,58.42,175.37,54.09,28.67,59.35
Main St,2025-01-19,03:42:00,126,36.66,79.11,27.55,21.92,29.13
5th Ave,2025-01-27,04:58:00,39,115.13,74.92,12.08,34.69,75.24
5th Ave,2025-01-18,10:25:00,397,134.0,41.68,34.53,29.07,27.81
5th Ave,2025-01-01,13:08:00,297,92.32,131.73,61.24,33.44,31.14
Park Ave,2025-01-04,03:52:00,153,63.09,110.17,87.75,27.47,22.22
5th Ave,2025-01-26,07:16:00,463,59.02,176.26,17.32,17.72,65.2
5th Ave,2025-01-23,18:13:00,194,137.75,121.38,34.47,30.78,49.63
Park Ave,2025-01-18,14:04:00,221,19.55,193.55,8.81,34.64,64.61
Broadway,2025-01-26,12:56:00,461,78.53,170.76,35.47,28.76,40.24
Park Ave,2025-01-16,10:49:00,412,86.8,131.3,55.16,35.78,48.39
Main St,2025-01-27,13:11:00,445,79.21,134.37,38.95,23.65,45.8
5th Ave,2025-01-09,08:03:00,243,118.72,115.42,72.81,31.66,63.4
Main St,2025-01-28,20:21:00,273,93.18,54.59,49.1,35.48,50.13
5th Ave,2025-01-03,09:43:00,109,99.43,94.63,75.56,36.85,31.45
5th Ave,2025-01-06,15:47:00,415,136.28,134.82,69.97,36.98,69.23
Park Ave,2025-01-02,11:53:00,274,74.14,46.31,12.05,15.18,33.33
Broadway,2025-01-24,07:42:00,377,112.49,170.69,76.12,28.34,33.39
Broadway,2025-01-22,01:26:00,45,7.1,189.51,28.36,16.82,61.44
Broadway,2025-01-07,02:59:00,24,52.79,195.61,22.98,15.07,41.64
Park Ave,2025-01-18,12:02:00,92,138.2,122.74,99.45,34.53,53.34
5th Ave,2025-01-13,16:31:00,261,99.47,189.69,55.0,18.17,69.84
Broadway,2025-01-22,16:53:00,430,111.19,151.57,93.12,32.65,63.94
Elm St,2025-01-04,09:17:00,183,35.49,121.63,75.55,23.96,72.21
Broadway,2025-01-06,16:29:00,280,84.24,64.52,69.84,24.34,64.69
Broadway,2025-01-28,14:04:00,354,129.72,78.48,16.08,27.15,39.35
Main St,2025-01-11,00:39:00,188,77.5,182.16,54.09,21.22,44.2
Broadway,2025-01-22,12:50:00,430,74.87,105.55,86.92,18.99,61.42
Elm St,2025-01-14,16:25:00,356,121.38,159.67,39.17,18.32,43.85
Broadway,2025-01-22,08:44:00,469,29.12,167.59,68.65,34.62,79.89
Main St,2025-01-08,18:20:00,441,14.0,12.58,40.72,35.62,43.71
Park Ave,2025-01-02,02:52:00,414,64.94,142.45,10.74,15.01,50.52
Park Ave,2025-01-21,15:07:00,358,18.69,67.81,12.32,34.78,50.19
